Unnamed: 0,likes,status,time,category
287,132,"I felt  bad thinking that the kind of work I do is repetitive in nature , then I saw the trailer of Udaynathi Stalin's next film . Feeling a lot better now.",2015-03-30T13:45:11+0000,movie
169,131,"Happy Ganesh Chadurthi , he is the God who taught us that, to get the Mango you need not go around the world you just need to go around and impress the people who has it . 

Till date this is  the exact way appraisals happen in MNCs.",2015-09-17T03:45:33+0000,work
145,127,"Passport Agent : Sir , ungalukku passport la 30 pages venuma 60 pages venuma ?

Me : Oru page podhum , Summa proofukku than .",2015-10-25T15:13:25+0000,life
60,123,Hacked True caller and changed my name to Vijay Mallya. I have stopped getting calls from banks asking me to avail loans and credit cards.,2016-03-09T15:48:12+0000,life
4,119,"Whats the difference between DMDK and a cycle?

Cycle has a seat.",2016-05-19T12:41:31+0000,politics
204,116,"Rajamouli himself released Tamil version of Bahubali Simultaneously , as he was scared that Jayam Ravi & his brother would remake it into a family oriented Tamil movie.",2015-07-10T14:27:35+0000,movie
310,115,"If Siva  Karthikeyan can act as police , then surely someday I can work for Google.",2015-02-27T16:01:26+0000,movie
93,115,"Udayanidhi to file a case on people who reviews his film in the Internet. 

Dae Un padatha pakkarathe avanga mattum thanda avanga melayum case potta yaaru da pappa?",2016-01-19T14:55:36+0000,movie
114,113,"Simbu : God, please help me. 

God : Enna *****ikku help Pannanum?",2015-12-15T16:10:29+0000,movie
31,112,"All your life you never get enough of 2 things. 

1. Sleep 
2. Salary",2016-05-02T03:53:04+0000,philosophy
151,109,"Public celebrating for Nadigar sangam election results outside the building is the most insane thing I have ever seen this year

#10PaisaPriyojanamilla.",2015-10-18T18:14:50+0000,movie
170,107,"I am not Engineer , just B.E.

Gumbalil Oruvan

#EngineersDay.",2015-09-15T14:43:38+0000,life
140,107,"*I am back to office. 

*Bro is back to college. 

*Modi is off to UK. 

Everyone is back to their routine after diwali.",2015-11-12T02:59:32+0000,life
90,104,"Dhanush who struggles to speak  English in most of his movies and haven't even done a single film with Gowtham Menon has made it to Hollywood. 

There is hope for everyone.",2016-01-28T15:02:29+0000,movie
291,104,"Appraisal , the art of demotivating 10 employees in order to motivate one.",2015-03-23T17:30:40+0000,philosophy
228,104,"Before Maggi,  they found toxic content in a packet of lays and filed a case , the case was later dismissed as there was no chips in it.",2015-06-05T13:17:03+0000,news
321,102,"Dear Congress ,

My PT master always used to say ' participation is more important than winning .'

May be you took it a bit too seriously.",2015-02-10T17:26:07+0000,politics
77,102,Bangalore la 4 padam pakkara kaasa sethi vecha oru padam eduthuralam.,2016-02-19T16:46:33+0000,life
234,102,"If Chennai Amirtha is Dubai 7 star hotel , then I did my engineering at Harvard University.",2015-05-28T17:25:13+0000,life
192,101,"It is not the place around us that make our life beautiful it is always the people around , With that said Chennai is one of the most beautiful place in which I have ever lived .

Moving out , but will be surely back someday.",2015-08-02T13:45:40+0000,philosophy
94,99,"Watching Singam in tv. Our neighbours had come and complained about the  amount of noise from our home. 

TV was actually in mute.",2016-01-15T05:47:50+0000,movie
122,99,Those who are taking advantage of the situation to rise the price of essential commodities to make more money will rot in hell.,2015-12-03T04:19:44+0000,society
522,98,"Diwali 15yrs back - yaaru pattasu athiga velaikku vangarano avan than gethu 

Diwali 7 years back - yaaru diwali ku costly ya dress vangarano avan that gethu 

Diwali now - evanukku company la leave kedachu , buso traino kedachu diwali kku veetu varano avan than gethu.",2013-11-01T17:47:38+0000,life
328,98,"My company has given 3000 iphone 6 to top performers,for my performance I will be probably getting a Karbonn or intex aqua dual sim mobile.

#Claps",2015-01-09T15:40:45+0000,life
443,98,"What is the difference between a cycle and DMK?

cycle has a seat.",2014-05-16T11:31:04+0000,politics
483,98,"Jayam Ravi's 'Nimirthu nil ' is running in theatres , this title would have been apt for prasanna's movie kalyana samayal saadam !",2014-03-16T03:14:36+0000,movie
45,97,"* Pays 1.7x the price for cab. 

* Pays  2x the  price for movie ticket. 

* Bargains with vegetable vendor for x - 5 the price. 

#JustIndianThings",2016-04-16T15:49:25+0000,society
260,96,"Think the word salary must have originated from a tamil word called Sillarai. 

#SimplyNotEnough",2015-04-30T02:20:48+0000,philosophy
143,94,"3 years ago an astrologer told me there is high possibility of settling in US.

He was right , last week he moved to US .",2015-11-09T06:56:06+0000,life
198,93,"Just  realized that the guy in the ad from Chennai Amirta who  studied in Malaysia is the same guy who works as cable operator's assistant in Pappanasam.

Choose your college wisely.",2015-07-20T15:57:00+0000,tv
15,93,"Dear News Channels, 

Famous people standing in the queue to vote is not a news . They have to. For fuck's sake this is a democracy and not a temple.",2016-05-16T03:29:29+0000,tv
325,92,"When I was searching for a job after engineering all the mails from job sites would be for people with experience and all the mails that I get now are about job opportunities for freshers.

The irony.",2015-01-22T14:31:30+0000,life
44,92,"Actor  Surya duck out. 

Oongi adicha Ondra ton weight nu sonnangale ji. Siluthu poi sillarayellam setharavitten. Atthanayum nadippa?",2016-04-17T07:29:05+0000,movie
34,91,The difference between Stalin and Udayanidhi Stalin is that one of them does not  know how to act.,2016-04-29T13:14:41+0000,movie
305,91,"Few years ago, I was searching for a job in my life , now a days I am searching for a life in my job.

#SearchNeverEnds",2015-03-05T14:20:12+0000,life
3,90,"* Comes back home on Friday after a tough week. 

* Decides to watch a movie this weekend. 

* Realizes Vishal's maruthu is the only new release.

* Makes up mind to go to office for next two days.",2016-05-20T17:10:27+0000,movie
286,90,It's a very meaningful coincidence that the beginning of new financial year and fools day fall on the same day.,2015-04-01T04:20:25+0000,philosophy
306,90,Still Searching for the teacher who taught me that 'computers were invented to make our life easier.,2015-03-04T15:20:58+0000,life
322,89,Life v2.0!,2015-02-09T14:23:14+0000,life
282,89,In a dilemma whether to watch Paul Walker's Fast n Furious seven or Vijayakanth's fat and furious son.,2015-04-03T16:32:17+0000,movie
113,88,Client is someone who takes 15 days holiday for Christmas and cries to give one day extra leave for Diwali.,2015-12-16T16:54:49+0000,work
141,87,"Sweet box lam moodi veinga,  naalaila  la irunthu mail box than.

#RoutineLife",2015-11-11T17:54:51+0000,life
220,87,"Seems Singam 3 music will be composed by Anirudh.

Oruthan Paatula kathuvan , onnoruthan Paathathukellam Kathuvan.

#SimplyCantWait.",2015-06-19T15:39:41+0000,movie
188,86,"Obviously he would have got mocked in school for his name .

But in the end its not your name that defines you , its you who define your name.

#SundarPichai. FTW",2015-08-11T15:45:50+0000,news
320,85,"Modi has posted 15 tweets wishing each member of Indian cricket team.

I thought I was the only one wasting time In social media.",2015-02-12T17:35:19+0000,news
249,85,"At office, Me to computer - Thooki Adichuruven Paathukka.",2015-05-09T17:19:18+0000,life
32,85,"Feeling sorry for  YouTube employees who are in weekend support.

Net wire pinjurukkum. 

#Kabali _/\_",2016-05-01T08:39:06+0000,news
358,83,"My mobile browser supports Amazon,Snapdeal & Flipkart etc. My wallet doesn't.",2014-10-10T17:02:26+0000,life
147,82,"Vijay Sethupathi , always makes you realize that the biggest heroism lies in acting as a common man.

#NRD",2015-10-22T04:06:42+0000,movie
164,82,"You have to go in person to commissioner office twice , RTO thrice to get  a small NOC certificate to confirm there is no case registered over  your  vehicle ,  so that it can be transferred to another state.

Ennangada Digital India.",2015-09-27T17:10:21+0000,society
647,82,leaving the city of my joy for work. Thanks for   everyone and everything. Will miss a lot of things. After all best moments in life are realised only after we cross it .,2012-09-01T17:26:44+0000,life
55,82,"Making New friends  is a skill,  retaining old ones is an art.",2016-03-25T17:13:00+0000,philosophy
119,82,"Just now fought and chased off a party worker, he was trying to paste a sticker on my Facebook wall. 

#OdiPoda",2015-12-06T05:42:39+0000,politics
128,82,"*Anirudh - Kaetta udane pudikkum. 

*AR Rahman -  Kaekka kekka pudikkum. 

*Harris Jeyaraj  -  kaetta engayo kaetta madiri irukkum.",2015-11-28T15:22:14+0000,movie
350,82,Veetla plus 2 result vantha anikku sonna madiri Maadu mekka poiruntha kooda inneram hike vanthurukkum.,2014-10-26T07:11:00+0000,life
82,80,"Bangaloreans calm down about the roaming Leopard , Tomorrow morning  after witnessing the amount of traffic  it will go back to the place where it came  from.",2016-02-07T17:26:42+0000,news
252,80,Tom +2 results it seems . Fate of all students Will be decided tomorrow and they will get to know which of the 5 IT companies they will work for.,2015-05-06T14:11:11+0000,society
