code,college,district,course,OC,BC,BCM,MBC,SCA,SC,ST
3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",ARIYALUR,Electrical And Electronics Engineering ,175,167.7,150,171.5,145.7,164,0
3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",ARIYALUR,Computer Science And Engineering ,163.5,159,156.5,160.2,119.7,151.5,0
3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",ARIYALUR,Electronics And Communication Engineering ,174.75,170.5,163.5,169,131,164.5,0
3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",ARIYALUR,Mechanical Engineering,181.25,177.5,164.5,177.5,170.5,167,154.2
3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",ARIYALUR,Mechanical Engineering - Tamil Medium,80.5,0,0,0,0,0,0
3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",ARIYALUR,Civil Engineering,182.5,176.5,173.2,178.7,161.5,169.2,152.7
3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",ARIYALUR,Civil Engineering - Tamil Medium,100.75,0,0,0,0,0,0
3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,ARIYALUR,Computer Science And Engineering ,129.25,0,0,0,0,0,0
3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,ARIYALUR,Electrical And Electronics Engineering ,111.75,0,0,0,0,0,0
3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,ARIYALUR,Mechanical Engineering,91,0,0,0,0,0,0
3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,ARIYALUR,Civil Engineering,80.5,0,0,0,0,0,0
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Computer Science And Engineering ,200,199.7,199.5,199.2,194.3,196,186.2
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Electrical And Electronics Engineering ,199.75,199.5,199.2,199,194.2,196.7,197.7
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Agriculture And Irrigation Engineering (SS),196.5,195.7,194,194,175.2,187,176.7
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Electronics And Communication Engineering ,200,199.7,199.2,199.2,197,197.7,193.7
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Mechanical Engineering,199.75,199.7,199.5,199.2,197.5,198,187.2
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Mechanical Engineering - Tamil Medium,189.75,183.7,182.2,183.5,177.7,174,169.7
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Geo-Informatics,197.75,197.2,195.5,195.5,178.7,190.5,0
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Industrial Engineering,197.5,197.2,196.2,195.2,174.2,187.5,0
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Information Technology (SS),199,198.7,198,196.7,180.2,189.5,181.5
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Printing Technology,195.5,194.7,193.7,193,179,184.7,156
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Manufacturing Engineering,198.25,197.5,198.2,196,181.5,189.5,0
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI  CEG CAMPUS",CHENNAI,Mining Engineering,198,197.5,195.2,195.5,189.7,189,0
