club,1gw,3gw,6gw,gw1,gw2,gw3,gw4,gw5,gw6,ha1,ha2,ha3,ha4,ha5,ha6
Tottenham Hotspur,10,8,1,Everton,Crystal Palace,Liverpool,Stoke City,Sunderland,Middlesbrough,A,H,H,A,H,A
Crystal Palace,7,11,2,West Bromwich Albion,Tottenham Hotspur,AFC Bournemouth,Middlesbrough,Stoke City,Sunderland,H,A,H,A,H,A
Everton,18,16,3,Tottenham Hotspur,West Bromwich Albion,Stoke City,Sunderland,Middlesbrough,AFC Bournemouth,H,A,H,A,H,A
West Bromwich Albion,6,1,4,Crystal Palace,Everton,Middlesbrough,AFC Bournemouth,West Ham United,Stoke City,A,H,H,A,H,A
Middlesbrough,12,3,5,Stoke City,Sunderland,West Bromwich Albion,Crystal Palace,Everton,Tottenham Hotspur,H,A,A,H,A,H
Stoke City,2,9,6,Middlesbrough,Manchester City,Everton,Tottenham Hotspur,Crystal Palace,West Bromwich Albion,A,H,A,H,A,H
Manchester City,4,10,7,Sunderland,Stoke City,West Ham United,Manchester United,AFC Bournemouth,Swansea City,H,A,H,A,H,A
Leicester City,1,7,8,Hull City,Arsenal,Swansea City,Liverpool,Burnley,Manchester United,A,H,H,A,H,A
Burnley,9,12,9,Swansea City,Liverpool,Chelsea,Hull City,Leicester City,Watford,H,A,A,H,A,H
West Ham United,11,13,10,Chelsea,AFC Bournemouth,Manchester City,Watford,West Bromwich Albion,Southampton,A,H,A,H,A,H
Manchester United,5,2,11,AFC Bournemouth,Southampton,Hull City,Manchester City,Watford,Leicester City,A,H,A,H,A,H
Chelsea,14,5,12,West Ham United,Watford,Burnley,Swansea City,Liverpool,Arsenal,H,A,H,A,H,A
Swansea City,3,4,13,Burnley,Hull City,Leicester City,Chelsea,Southampton,Manchester City,A,H,A,H,A,H
Sunderland,17,14,14,Manchester City,Middlesbrough,Southampton,Everton,Tottenham Hotspur,Crystal Palace,A,H,A,H,A,H
Arsenal,13,18,15,Liverpool,Leicester City,Watford,Southampton,Hull City,Chelsea,H,A,A,H,A,H
Southampton,8,6,16,Watford,Manchester United,Sunderland,Arsenal,Swansea City,West Ham United,H,A,H,A,H,A
AFC Bournemouth,16,15,17,Manchester United,West Ham United,Crystal Palace,West Bromwich Albion,Manchester City,Everton,H,A,A,H,A,H
Liverpool,19,17,18,Arsenal,Burnley,Tottenham Hotspur,Leicester City,Chelsea,Hull City,A,H,A,H,A,H
Watford,15,19,19,Southampton,Chelsea,Arsenal,West Ham United,Manchester United,Burnley,A,H,H,A,H,A
Hull City,20,20,20,Leicester City,Swansea City,Manchester United,Burnley,Arsenal,Liverpool,H,A,H,A,H,A
