date,time,match,ground,home,away,hometeam,awayteam
05-Apr-17,8:00 PM,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,hyderabad,bangalore
06-Apr-17,8:00 PM,Rising Pune Supergiants v Mumbai Indians,Pune,Rising Pune Supergiants,Mumbai Indians,pune,mumbai
07-Apr-17,8:00 PM,Gujarat Lions v Kolkata Knight Riders,Rajkot,Gujarat Lions,Kolkata Knight Riders,gujarat,kolkata
08-Apr-17,4:00 PM,Kings XI Punjab v Rising Pune Supergiants,Indore,Kings XI Punjab,Rising Pune Supergiants,punjab,pune
08-Apr-17,8:00 PM,Royal Challengers Bangalore v Delhi Daredevils,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,bangalore,delhi
09-Apr-17,4:00 PM,Sunrisers Hyderabad v Gujarat Lions,Hyderabad,Sunrisers Hyderabad,Gujarat Lions,hyderabad,gujarat
09-Apr-17,8:00 PM,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians,Kolkata Knight Riders,mumbai,kolkata
10-Apr-17,4:00 PM,Kings XI Punjab v Royal Challengers Bangalore,Indore,Kings XI Punjab,Royal Challengers Bangalore,punjab,bangalore
11-Apr-17,8:00 PM,Rising Pune Supergiants v Delhi Daredevils,Pune,Rising Pune Supergiants,Delhi Daredevils,pune,delhi
12-Apr-17,8:00 PM,Mumbai Indian v Sunrisers Hyderabad,Mumbai,Mumbai Indian,Sunrisers Hyderabad,mumbai,hyderabad
13-Apr-17,8:00 PM,Kolkata Knight Riders v Kings XI Punjab,Kolkata,Kolkata Knight Riders,Kings XI Punjab,kolkata,punjab
14-Apr-17,4:00 PM,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,bangalore,mumbai
14-Apr-17,8:00 PM,Gujarat Lions v Rising Pune Supergiants,Bangalore,Gujarat Lions,Rising Pune Supergiants,gujarat,pune
15-Apr-17,4:00 PM,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,kolkata,hyderabad
15-Apr-17,8:00 PM,Delhi Daredevils v Kings XI Punjab,Delhi,Delhi Daredevils,Kings XI Punjab,delhi,punjab
16-Apr-17,4:00 PM,Mumbai Indians v Gujarat Lions,Mumbai,Mumbai Indians,Gujarat Lions,mumbai,gujarat
16-Apr-17,8:00 PM,Royal Challengers Bangalore v Rising Pune Supergiants,Bengaluru,Royal Challengers Bangalore,Rising Pune Supergiants,bangalore,pune
17-Apr-17,4:00 PM,Delhi Daredevils v Kolkata Knight Riders,Delhi,Delhi Daredevils,Kolkata Knight Riders,delhi,kolkata
17-Apr-17,8:00 PM,Sunrisers Hyderabad v Kings XI Punjab,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,hyderabad,punjab
18-Apr-17,8:00 PM,Gujarat Lions v Royal Challengers Bangalore,Rajkot,Gujarat Lions,Royal Challengers Bangalore,gujarat,bangalore
