season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,2,Jordan_Pickford_148,1,8,0.7541861463970546,0.8413049412323235,1,55,1.0,107580.0,1.0,model_budget,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,75.42,0.0
2019-20,2,Jordan_Pickford_148,1,8,0.7541861463970546,0.8413049412323235,1,55,1.0,107580.0,1.0,model_dream,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,75.42,0.0
2019-20,8,Jordan_Pickford_148,1,8,0.2036800869299335,0.25233663756292274,0,55,8.0,13175.0,0.0,model_budget,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,20.37,0.0
2019-20,25,Jordan_Pickford_148,1,8,0.8115398401943656,0.9191068729795671,1,53,2.0,2909.0,1.0,model_budget,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,81.15,0.0
2019-20,25,Jordan_Pickford_148,1,8,0.8115398401943656,0.9191068729795671,1,53,2.0,2909.0,1.0,model_dream,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,81.15,0.0
2019-20,35,Jordan_Pickford_148,1,8,0.6230097231044107,0.8046926509758443,1,52,2.0,5938.0,0.0,model_dream,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,62.3,0.0
2019-20,27,Jordan_Pickford_148,1,8,0.17931856838322854,0.20769554961197545,0,53,3.0,1191.0,0.0,transfer_dream,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,17.93,0.0
2019-20,36,Jordan_Pickford_148,1,8,0.07207453723314998,0.09748235509847768,0,52,6.0,1117.0,0.0,transfer_budget,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,7.21,0.0
2019-20,2,Lucas_Digne_141,2,8,0.8964480171628859,1.0,1,60,1.0,206315.0,1.0,model_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,89.64,0.0
2019-20,2,Lucas_Digne_141,2,8,0.8964480171628859,1.0,1,60,1.0,206315.0,1.0,model_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,89.64,0.0
2019-20,11,Lucas_Digne_141,2,8,0.19349685716635373,0.27176654320521565,0,59,2.0,27378.0,0.0,model_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,19.35,0.0
2019-20,12,Lucas_Digne_141,2,8,0.598517260629254,0.8003311244875904,1,59,1.0,34647.0,1.0,model_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,59.85,0.0
2019-20,12,Lucas_Digne_141,2,8,0.598517260629254,0.8003311244875904,1,59,1.0,34647.0,1.0,model_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,59.85,0.0
2019-20,25,Lucas_Digne_141,2,8,0.8829656964303947,1.0,1,58,2.0,25772.0,1.0,model_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,88.3,0.0
2019-20,25,Lucas_Digne_141,2,8,0.8829656964303947,1.0,1,58,2.0,25772.0,1.0,model_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,88.3,0.0
2019-20,31,Lucas_Digne_141,2,8,0.5538748716116867,0.7383273746396175,1,57,5.0,15761.0,1.0,model_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,55.39,0.0
2019-20,31,Lucas_Digne_141,2,8,0.5538748716116867,0.7383273746396175,1,57,5.0,15761.0,1.0,model_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,55.39,0.0
2019-20,37,Lucas_Digne_141,2,8,0.9063500520126722,1.0,1,59,1.0,45775.0,1.0,model_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,90.64,0.0
2019-20,37,Lucas_Digne_141,2,8,0.9063500520126722,1.0,1,59,1.0,45775.0,1.0,model_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,90.64,0.0
2019-20,2,Lucas_Digne_141,2,8,0.8964480171628859,1.0,1,60,1.0,206315.0,1.0,transfer_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,89.64,0.0
2019-20,2,Lucas_Digne_141,2,8,0.8964480171628859,1.0,1,60,1.0,206315.0,1.0,transfer_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,89.64,0.0
2019-20,3,Lucas_Digne_141,2,8,0.4377307907494527,0.6506426580910496,0,60,5.0,196347.0,1.0,transfer_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,43.77,0.0
2019-20,3,Lucas_Digne_141,2,8,0.4377307907494527,0.6506426580910496,0,60,5.0,196347.0,1.0,transfer_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,43.77,0.0
2019-20,4,Lucas_Digne_141,2,8,0.5419391649582751,0.6472975172456888,1,61,0.0,231427.0,1.0,transfer_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,54.19,0.0
2019-20,4,Lucas_Digne_141,2,8,0.5419391649582751,0.6472975172456888,1,61,0.0,231427.0,1.0,transfer_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,54.19,0.0
2019-20,5,Lucas_Digne_141,2,8,0.5182280142521104,0.5827805945083336,1,62,1.0,88691.0,1.0,transfer_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,51.82,0.0
2019-20,5,Lucas_Digne_141,2,8,0.5182280142521104,0.5827805945083336,1,62,1.0,88691.0,1.0,transfer_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,51.82,0.0
2019-20,10,Lucas_Digne_141,2,8,0.159023669917604,0.2362235207598416,0,60,6.0,10468.0,0.0,transfer_dream,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,15.9,0.0
2019-20,14,Lucas_Digne_141,2,8,0.18548885109629895,0.20471540435881624,0,58,0.0,2095.0,0.0,transfer_budget,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,18.55,0.0
