season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,2,Jordan_Pickford_148,1,8,0.7541861463970546,0.8413049412323235,1,55,1.0,107580.0,1.0,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,75.42,0.0
2019-20,8,Jordan_Pickford_148,1,8,0.2036800869299335,0.25233663756292274,0,55,8.0,13175.0,0.0,148,Pickford,Jordan,Pickford,Jordan Pickford,Everton,everton,20.37,0.0
2019-20,2,Lucas_Digne_141,2,8,0.8964480171628859,1.0,1,60,1.0,206315.0,1.0,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,89.64,0.0
2019-20,12,Lucas_Digne_141,2,8,0.598517260629254,0.8003311244875904,1,59,1.0,34647.0,1.0,141,Digne,Lucas,Digne,Lucas Digne,Everton,everton,59.85,0.0
2019-20,5,Alex_Iwobi_17,3,8,0.4621713757514954,0.4938247799873352,-1,59,1.0,28698.0,0.0,17,Iwobi,Alex,Iwobi,Alex Iwobi,Everton,everton,46.22,0.0
2019-20,6,Fabian_Delph_205,2,8,0.10897022000104804,0.11834126541301675,0,54,1.0,625.0,0.0,205,Delph,Fabian,Delph,Fabian Delph,Everton,everton,10.9,0.0
2019-20,6,Morgan_Schneiderlin_158,3,8,0.18650345504283905,0.20543690025806427,-1,45,1.0,1825.0,0.0,158,Schneiderlin,Morgan,Schneiderlin,Morgan Schneiderlin,Everton,everton,18.65,0.0
2019-20,12,Cenk_Tosun_146,4,8,0.6349186301231384,0.7310338020324707,1,57,2.0,1141.0,1.0,146,Tosun,Cenk,Tosun,Cenk Tosun,Everton,everton,63.49,0.0
2019-20,14,Djibril_SidibÃÂ©_511,2,8,0.09893420755966348,0.10918907624793453,0,53,0.0,704.0,0.0,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,9.89,0.0
2019-20,17,Dominic_Calvert-Lewin_147,4,8,0.7249094843864441,0.8448512554168701,1,57,2.0,22838.0,1.0,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,72.49,0.0
2019-20,18,Tom_Davies_154,3,8,0.3973729014396668,0.4928004741668701,-1,53,1.0,937.0,1.0,154,Davies,Tom,Davies,Tom Davies,Everton,everton,39.74,0.0
2019-20,2,Dean_Henderson_471,1,15,0.16731743740408514,0.18664488537061852,0,45,1.0,28603.0,0.0,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,16.73,0.0
2019-20,5,Dean_Henderson_471,1,15,0.1398317960034098,0.15724981082630338,0,45,6.0,8266.0,0.0,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,13.98,0.0
2019-20,3,Oliver_McBurnie_501,4,15,0.4227974116802216,0.4524254500865936,-1,60,1.0,1894.0,0.0,501,McBurnie,Oliver,McBurnie,Oliver McBurnie,Sheffield United,sheffieldunited,42.28,0.0
